generation,fitness,Acc,F1,EM,PPL,C,is_elite,eta,pdrop,weight_decay,p_lora,batch_size,epochs,lora_r,alpha,k_layers,seq_len,quant
0,-1.3342309867559017,0.0,0.33828911902397507,0.0,1000000.0,0.5416666666666666,1,5.3382320164814567e-05,0.29132351328408546,0.04303898511172491,0.05172215329142295,1,6,16,16,0.4,1024,4
0,-1.4093288335742051,0.0,0.0,0.0,1000000.0,0.27777777777777773,1,7.345885188961815e-05,0.24480697602602655,0.04889922468386671,0.12990592542942736,2,2,16,16,0.4,512,8
0,-1.4176621669075387,0.0,0.0,0.0,1000000.0,0.3611111111111111,1,2.928197496197398e-06,0.2787295848793851,0.04393609389115921,0.17474982940417694,4,2,4,8,0.4,512,4
0,-1.4209193502840338,0.0,0.10488346281908992,0.0,1000000.0,0.7083333333333334,1,6.43032530473305e-05,0.007503226566800081,0.013751465918455963,0.08348161072232342,1,6,16,32,0.1,2048,8
0,-1.42487761406201,0.0,0.07317073170731708,0.0,1000000.0,0.6527777777777778,1,3.617179932252463e-05,0.20105255231330801,0.03509101567292757,0.15253214983050012,1,5,16,8,0.4,2048,4
0,-1.4315510557964275,0.0,0.0,0.0,1000000.0,0.5,1,4.5471695582101506e-05,0.08345721246919881,0.0434650160396467,0.16382110506946512,2,6,8,16,0.25,512,4
0,-1.4315510557964275,0.0,0.0,0.0,1000000.0,0.5,1,1.7176846882430912e-05,0.11383663252729433,0.04947616753182976,0.14599996397811393,2,6,8,8,0.1,512,8
0,-1.4343288335742053,0.0,0.0,0.0,1000000.0,0.5277777777777778,1,9.733846063395769e-05,0.11356031316250603,0.027602031563661353,0.17441069963794925,4,5,4,32,0.1,512,4
0,-1.4343288335742053,0.0,0.0,0.0,1000000.0,0.5277777777777778,1,8.432526546907424e-05,0.15229886459329026,0.009945555088236652,0.10608707788867221,2,5,16,8,0.4,1024,8
0,-1.4398843891297608,0.0,0.0,0.0,1000000.0,0.5833333333333334,1,4.146485268696576e-06,0.028108571958477734,0.01163304466953698,0.14030280935749706,2,6,16,32,0.4,1024,4
0,-1.4398843891297608,0.0,0.0,0.0,1000000.0,0.5833333333333334,1,7.75337657380805e-05,0.2955664561982273,0.042765886050757346,0.1799725500132905,8,3,8,32,0.25,512,8
0,-1.4426621669075386,0.0,0.0,0.0,1000000.0,0.6111111111111112,1,9.576409414847134e-05,0.10097836353378803,0.004637292169007395,0.0645074565250196,4,5,8,8,0.4,1024,4
0,-1.4426621669075386,0.0,0.0,0.0,1000000.0,0.611111111111111,1,4.071531391521056e-05,0.01985658156346417,0.045656806209277256,0.13507700772177536,4,2,16,16,0.25,2048,8
0,-1.4509955002408719,0.0,0.0,0.0,1000000.0,0.6944444444444445,1,1.5144287453764204e-05,0.04188909585765189,0.03724944910458033,0.13084659345009358,8,5,8,16,0.1,512,8
0,-1.4593288335742052,0.0,0.0,0.0,1000000.0,0.7777777777777778,1,3.005651273609519e-05,0.047447326303400914,0.0001622658050864645,0.15831380919648663,4,5,4,32,0.1,2048,8
0,-1.475995500240872,0.0,0.0,0.0,1000000.0,0.9444444444444445,1,1.0000031805205597e-05,0.01413491262742037,0.005482456517532958,0.14411690625546353,8,5,4,16,0.25,2048,8
1,-1.17355728396337,0.25,0.4572014616657473,0.25,1000000.0,0.5416666666666666,1,5.3382320164814567e-05,0.29132351328408546,0.04241393947538465,0.05172215329142295,1,6,16,16,0.4,1024,4
1,-1.1948086315540032,0.25,0.38636363636363635,0.25,1000000.0,0.5416666666666666,1,5.3382320164814567e-05,0.29132351328408546,0.04303898511172491,0.05172215329142295,1,6,8,16,0.4,1024,8
1,-1.201422494938122,0.25,0.36431742508324083,0.25,1000000.0,0.5416666666666666,1,5.291454915332712e-05,0.1406871119534953,0.007983687355206433,0.053590249885833136,1,6,16,16,0.4,1024,8
1,-1.3342309867559017,0.0,0.33828911902397507,0.0,1000000.0,0.5416666666666666,1,5.3382320164814567e-05,0.29132351328408546,0.04303898511172491,0.05172215329142295,1,6,16,16,0.4,1024,4
1,-1.401422494938122,0.0,0.11431742508324083,0.0,1000000.0,0.5416666666666666,1,6.43032530473305e-05,0.007503226566800081,0.013751465918455963,0.059233966423565064,1,6,8,16,0.25,1024,4
1,-1.4093288335742051,0.0,0.0,0.0,1000000.0,0.27777777777777773,1,7.345885188961815e-05,0.24480697602602655,0.04889922468386671,0.12990592542942736,2,2,16,16,0.4,512,8
1,-1.4093288335742051,0.0,0.0,0.0,1000000.0,0.27777777777777773,1,6.924046390477411e-05,0.24480697602602655,0.04889922468386671,0.12990592542942736,2,2,16,16,0.4,512,8
1,-1.4093288335742051,0.0,0.0,0.0,1000000.0,0.27777777777777773,1,4.5471695582101506e-05,0.08345721246919881,0.03650671484358079,0.16382110506946512,2,2,8,16,0.1,512,4
1,-1.4176621669075387,0.0,0.0,0.0,1000000.0,0.3611111111111111,1,2.928197496197398e-06,0.2787295848793851,0.04393609389115921,0.17474982940417694,4,2,4,8,0.4,512,4
1,-1.4176621669075387,0.0,0.0,0.0,1000000.0,0.3611111111111111,1,2.928197496197398e-06,0.2787295848793851,0.04393609389115921,0.17474982940417694,4,2,4,16,0.25,512,4
1,-1.4209193502840338,0.0,0.10488346281908992,0.0,1000000.0,0.7083333333333334,1,6.43032530473305e-05,0.007503226566800081,0.013751465918455963,0.08348161072232342,1,6,16,32,0.1,2048,8
1,-1.42487761406201,0.0,0.07317073170731708,0.0,1000000.0,0.6527777777777778,1,3.617179932252463e-05,0.20105255231330801,0.03509101567292757,0.15253214983050012,1,5,16,8,0.4,2048,4
1,-1.4315510557964275,0.0,0.0,0.0,1000000.0,0.5,1,4.5471695582101506e-05,0.08345721246919881,0.0434650160396467,0.16382110506946512,2,6,8,16,0.25,512,4
1,-1.4315510557964275,0.0,0.0,0.0,1000000.0,0.5,1,1.7176846882430912e-05,0.11383663252729433,0.04947616753182976,0.14599996397811393,2,6,8,8,0.1,512,8
1,-1.4343288335742053,0.0,0.0,0.0,1000000.0,0.5277777777777778,1,7.33076539185607e-05,0.21976690112341707,0.01243997662506325,0.14022882033929326,2,2,4,32,0.25,2048,4
1,-1.4232177224630942,0.0,0.0,0.0,1000000.0,0.4166666666666667,1,7.418644823690985e-05,0.16028763956121303,0.002360377448338341,0.0954418883303941,2,3,16,8,0.4,1024,4
2,-1.17355728396337,0.25,0.4572014616657473,0.25,1000000.0,0.5416666666666666,1,5.3382320164814567e-05,0.29132351328408546,0.04241393947538465,0.05172215329142295,1,6,16,16,0.4,1024,4
2,-1.1872293503700708,0.25,0.41162790697674423,0.25,1000000.0,0.5416666666666666,1,6.429758972737473e-05,0.292099934799389,0.04269935429478937,0.05914436620189519,1,6,8,32,0.4,1024,4
2,-1.1948086315540032,0.25,0.38636363636363635,0.25,1000000.0,0.5416666666666666,1,5.3382320164814567e-05,0.29132351328408546,0.04303898511172491,0.05172215329142295,1,6,8,16,0.4,1024,8
2,-1.201422494938122,0.25,0.36431742508324083,0.25,1000000.0,0.5416666666666666,1,5.291454915332712e-05,0.1406871119534953,0.007983687355206433,0.053590249885833136,1,6,16,16,0.4,1024,8
2,-1.2180891616047886,0.25,0.36431742508324083,0.25,1000000.0,0.7083333333333334,1,5.3382320164814567e-05,0.29132351328408546,0.04303898511172491,0.05172215329142295,1,6,16,16,0.4,2048,4
2,-1.2268941930513295,0.25,0.27941176470588236,0.25,1000000.0,0.5416666666666666,1,5.338798348477034e-05,0.007057418948224536,0.01566138794847699,0.053190802953279354,1,6,8,16,0.4,1024,8
2,-1.3342309867559017,0.0,0.33828911902397507,0.0,1000000.0,0.5416666666666666,1,5.3382320164814567e-05,0.29132351328408546,0.04303898511172491,0.05172215329142295,1,6,16,16,0.4,1024,4
