generation,fitness,Acc,F1,EM,PPL,C,is_elite,eta,pdrop,weight_decay,p_lora,batch_size,epochs,lora_r,alpha,k_layers,seq_len,quant
0,0.5994216777105181,0.9359214198499912,0.9500279433681074,0.75,1.5122994582557587,0.75,1,0.00010429946655704164,0.1994651555978322,0.0013833174489085588,0.07467579174448155,8,3,8,16,0.75,512,8
0,0.5767436794548476,0.9134053081421503,0.9298425366695428,0.75,1.5356801948248615,0.8333333333333334,0,0.00010103757747769879,0.031095899962356312,0.009572130722067812,0.06682972725563134,8,4,8,32,0.75,512,4
0,0.5403475462411964,0.9049352582620684,0.9289961734139236,0.625,1.539799427329289,0.9166666666666666,0,8.279569622054051e-05,0.10107105762067248,0.0002653596968386363,0.05994188253433243,16,3,16,32,0.5,512,8
0,0.5118113764238865,0.9823960761460762,0.94633143661505,0.25,1.5190251403125445,0.75,0,8.142605461572316e-05,0.053395564409822675,0.00936654587712494,0.08240176926232967,8,3,8,32,0.75,512,4
0,0.48920703881316707,0.8066261574074074,0.82109375,0.625,1.5034402781229084,0.8333333333333334,0,8.18939816081211e-05,0.09984625189845547,0.008846831538867025,0.0821425935100212,8,4,8,16,0.75,512,8
0,0.468027715601173,0.79921875,0.8196435866013072,0.5,1.5315952722202888,0.75,0,0.00010724289297598053,0.19922427604801937,0.00529114345099137,0.09855391888068091,8,3,32,32,0.75,512,8
0,0.4597933821977482,0.818080955519801,0.861898557768176,0.375,1.55582308061342,0.75,0,0.00014591401976868257,0.005002151044533387,0.0027502931836911925,0.06116053690744114,8,3,32,32,0.5,512,4
0,0.4370726773115786,0.8756003727830071,0.8414288705845036,0.25,1.5636574926224676,0.8333333333333334,0,0.0001526921376484812,0.16857038403796193,0.007759999115462449,0.061452403598205224,8,4,16,32,0.5,512,8
0,0.4340553876469214,0.8167424260368615,0.8650676712633765,0.375,1.5759786043626338,1.0,0,0.0001659602511183038,0.19704430413215157,0.00855317721015147,0.09332418333776349,16,4,16,32,0.5,512,8
0,0.4294054527348493,0.8223866346679171,0.841794964275626,0.375,1.5659462431392697,1.0,0,0.0001594597680040727,0.10724561829094015,0.009731157639793707,0.06892671886041768,16,4,32,16,0.5,512,4
1,0.6454527029865667,0.9769736842105263,0.9769736842105263,0.875,1.5027775193017738,0.75,0,0.00010555385654915066,0.19925220995315363,0.008896976686099428,0.08222664034732126,8,3,8,16,0.75,512,8
1,0.5994216777105181,0.9359214198499912,0.9500279433681074,0.75,1.5122994582557587,0.75,1,0.00010429946655704164,0.1994651555978322,0.0013833174489085588,0.07467579174448155,8,3,8,16,0.75,512,8
1,0.5939331006977642,0.9457236842105263,0.9457236842105263,0.75,1.4943297296736306,0.8333333333333334,0,8.170437082120924e-05,0.03509229144740221,0.008829748599118056,0.06580262633242877,8,4,8,16,0.75,512,8
1,0.5826589484730412,0.9359214198499912,0.9500279433681074,0.75,1.5137529099934914,0.9166666666666666,0,8.017166462611988e-05,0.04736266716136853,0.001843135862103053,0.07485092065948983,16,3,8,32,0.75,512,4
1,0.5767436794548476,0.9134053081421503,0.9298425366695428,0.75,1.5356801948248615,0.8333333333333334,0,0.00010103757747769879,0.031095899962356312,0.009572130722067812,0.06682972725563134,8,4,8,32,0.75,512,4
1,0.5417518175920393,0.9122947774121942,0.934784040929083,0.625,1.5794103993651993,0.9166666666666666,0,8.279569622054051e-05,0.10107105762067248,0.0002653596968386363,0.05994188253433243,16,3,16,16,0.5,512,4
1,0.5403475462411964,0.9049352582620684,0.9289961734139236,0.625,1.539799427329289,0.9166666666666666,0,8.279569622054051e-05,0.10107105762067248,0.0002653596968386363,0.05994188253433243,16,3,16,32,0.5,512,8
1,0.5389928819939901,0.9753529493989377,0.9498371730946373,0.5,1.5983548489737855,0.9166666666666666,0,7.167585926833163e-05,0.10107105762067248,0.0002653596968386363,0.05994188253433243,16,3,16,16,0.5,512,4
1,0.3412903077118521,0.7886900887441113,0.801798006245654,0.0,1.6908441047668088,0.8333333333333334,0,0.00017691555699422834,0.018459693542546684,0.0042357577256372635,0.0638340111986126,8,4,8,32,0.5,512,8
1,0.4951178763374239,0.8211789663499925,0.8496241961269414,0.625,1.6126799989652922,0.8333333333333334,0,0.00018044304279660629,0.18135346230491453,0.003756455338019876,0.08413651770507707,8,4,8,16,0.75,512,4
